fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancias	
20160919 235832	abril	rpart	0	20	2	3	0	
20160920 000016	abril	rpart	0	20	2	3	0	
20160920 000022	abril	rpart	0	20	2	4	1055833	
20160920 000028	abril	rpart	0	20	2	5	1151667	
20160920 000036	abril	rpart	0	20	2	6	998333.3	
20160920 000043	abril	rpart	0	20	2	7	1215833	
20160920 000052	abril	rpart	0	20	2	8	1217500	
20160920 000102	abril	rpart	0	20	2	9	1217500	
20160920 000112	abril	rpart	0	20	2	10	1145833	
20160920 000122	abril	rpart	0	20	2	11	1145833	
20160920 000135	abril	rpart	0	20	2	12	1145833	
20160920 000148	abril	rpart	0	20	2	13	1095833	
20160920 000203	abril	rpart	0	20	2	14	1095833	
20160920 000219	abril	rpart	0	20	2	15	1095833	
20160920 000235	abril	rpart	0	20	2	16	1095833	
20160920 000251	abril	rpart	0	20	2	17	1095833	
20160920 000307	abril	rpart	0	20	2	18	1095833	
20160920 000327	abril	rpart	0	20	2	19	1095833	
20160920 000348	abril	rpart	0	20	2	20	1095833	
20160920 000353	abril	rpart	0	20	3	3	0	
20160920 000359	abril	rpart	0	20	3	4	1055833	
20160920 000405	abril	rpart	0	20	3	5	1151667	
20160920 000412	abril	rpart	0	20	3	6	1063333	
20160920 000420	abril	rpart	0	20	3	7	1260833	
20160920 000428	abril	rpart	0	20	3	8	1254167	
20160920 000438	abril	rpart	0	20	3	9	1252500	
20160920 000448	abril	rpart	0	20	3	10	1240000	
20160920 000459	abril	rpart	0	20	3	11	1382500	
20160920 000511	abril	rpart	0	20	3	12	1334167	
20160920 000526	abril	rpart	0	20	3	13	1335833	
20160920 000542	abril	rpart	0	20	3	14	1335833	
20160920 000558	abril	rpart	0	20	3	15	1335833	
20160920 000615	abril	rpart	0	20	3	16	1335833	
20160920 000631	abril	rpart	0	20	3	17	1335833	
20160920 000649	abril	rpart	0	20	3	18	1335833	
20160920 000708	abril	rpart	0	20	3	19	1335833	
20160920 000728	abril	rpart	0	20	3	20	1335833	
20160920 000733	abril	rpart	0	20	4	3	0	
20160920 000739	abril	rpart	0	20	4	4	1055833	
20160920 000746	abril	rpart	0	20	4	5	1207500	
20160920 000753	abril	rpart	0	20	4	6	1119167	
20160920 000801	abril	rpart	0	20	4	7	1316667	
20160920 000811	abril	rpart	0	20	4	8	1310000	
20160920 000821	abril	rpart	0	20	4	9	1428333	
20160920 000834	abril	rpart	0	20	4	10	1437500	
20160920 000847	abril	rpart	0	20	4	11	1489167	
20160920 000901	abril	rpart	0	20	4	12	1440833	
20160920 000916	abril	rpart	0	20	4	13	1442500	
20160920 000933	abril	rpart	0	20	4	14	1442500	
20160920 000950	abril	rpart	0	20	4	15	1448333	
20160920 001006	abril	rpart	0	20	4	16	1448333	
20160920 001024	abril	rpart	0	20	4	17	1448333	
20160920 001043	abril	rpart	0	20	4	18	1448333	
20160920 001103	abril	rpart	0	20	4	19	1448333	
20160920 001125	abril	rpart	0	20	4	20	1448333	
20160920 001130	abril	rpart	0	20	5	3	0	
20160920 001136	abril	rpart	0	20	5	4	1055833	
20160920 001144	abril	rpart	0	20	5	5	1151667	
20160920 001152	abril	rpart	0	20	5	6	1120000	
